"","Author","patent_no","patentType","Seq","Lname","Fname","MI","authorfl","coauthor"
"1","morris,a.e.","#w097/25420","pct",1,"morris","a","e.","morris,a","lee,c, thomas,j"
"2","lee,c.c.","#w097/25420","pct",2,"lee","c","c.","lee,c","morris,a, thomas,j"
"3","thomas,j.n.","#w097/25420","pct",3,"thomas","j","n.","thomas,j","morris,a, lee,c"
"4","bingsheng,q.","(00100211.2)","china",1,"bingsheng","q","","bingsheng,q","gong,y, xiuhua,z, po,t"
"5","gong,y.","(00100211.2)","china",2,"gong","y","","gong,y","bingsheng,q, xiuhua,z, po,t"
"6","xiuhua,z.","(00100211.2)","china",3,"xiuhua","z","","xiuhua,z","bingsheng,q, gong,y, po,t"
"7","po,t.","(00100211.2)","china",4,"po","t","","po,t","bingsheng,q, gong,y, xiuhua,z"
"8","jones,a.e.","(0020331.5)","gb",1,"jones","a","e.","jones,a","winge,p, rossiter,j"
"9","winge,p.","(0020331.5)","gb",2,"winge","p","","winge,p","jones,a, rossiter,j"
"10","rossiter,j.t.","(0020331.5)","gb",3,"rossiter","j","t.","rossiter,j","jones,a, winge,p"
"11","zhang,z.","(01127288.0)","china",1,"zhang","z","","zhang,z","he,j, yao,b, zhou,y, chen,y, yi,y"
"12","he,j.","(01127288.0)","china",2,"he","j","","he,j","zhang,z, yao,b, zhou,y, chen,y, yi,y"
"13","yao,b.","(01127288.0)","china",3,"yao","b","","yao,b","zhang,z, he,j, zhou,y, chen,y, yi,y"
"14","zhou,y.","(01127288.0)","china",4,"zhou","y","","zhou,y","zhang,z, he,j, yao,b, chen,y, yi,y"
"15","chen,y.","(01127288.0)","china",5,"chen","y","","chen,y","zhang,z, he,j, yao,b, zhou,y, yi,y"
"16","yi,y.","(01127288.0)","china",6,"yi","y","","yi,y","zhang,z, he,j, yao,b, zhou,y, chen,y"
"17","unwin,j.","(0303767.8)","gb",1,"unwin","j","","unwin,j","standage,s, wellington,e"
"18","standage,s.","(0303767.8)","gb",2,"standage","s","","standage,s","unwin,j, wellington,e"
"19","wellington,e.","(0303767.8)","gb",3,"wellington","e","","wellington,e","unwin,j, standage,s"
"20","giraldo,c.i.","(04088188)","co",1,"giraldo","c","i.","giraldo,c","alegria,a, aguilar,e, gaviria,d, rengifo,l"
"21","alegria,a.","(04088188)","co",2,"alegria","a","","alegria,a","giraldo,c, aguilar,e, gaviria,d, rengifo,l"
"22","aguilar,e.","(04088188)","co",3,"aguilar","e","","aguilar,e","giraldo,c, alegria,a, gaviria,d, rengifo,l"
"23","gaviria,d.","(04088188)","co",4,"gaviria","d","","gaviria,d","giraldo,c, alegria,a, aguilar,e, rengifo,l"
"24","rengifo,l.","(04088188)","co",5,"rengifo","l","","rengifo,l","giraldo,c, alegria,a, aguilar,e, gaviria,d"
"25","robene-soustrade,i.","(0905053)","fr",1,"robene-soustrade","i","","robene-soustrade,i","pruvost,o, legrand,d"
"26","pruvost,o.","(0905053)","fr",2,"pruvost","o","","pruvost,o","robene-soustrade,i, legrand,d"
"27","legrand,d.","(0905053)","fr",3,"legrand","d","","legrand,d","robene-soustrade,i, pruvost,o"
"28","jahng,d.","(10","kr",1,"jahng","d","","jahng,d","park,k, cha,y, oh,s"
"29","park,k.-b.","(10","kr",1,"park","k","-b.","park,k","jahng,d, cha,y, oh,s"
"30","cha,y.","(10","kr",2,"cha","y","","cha,y","jahng,d, park,k, oh,s"
"31","oh,s.-h.","(10","kr",2,"oh","s","-h.","oh,s","jahng,d, park,k, cha,y"
